week,year,Zone,Date,Total,"Not Surveyd",Surveyed,Present,Awaiting,"Valid Absent","without Uniform",Leave,Driver,"Night Shift",Evening,"Other Duty","Left Job",Retired,Death,"CNIC Mismatch",Transfer,Other
18,2017,IV,2-May-17,893,801,92,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,IV,3-May-17,893,811,82,22,60,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,IV,4-May-17,893,812,81,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,IV,5-May-17,893,822,71,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,IV,6-May-17,893,811,82,56,26,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,IV,7-May-17,893,887,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,IV,8-May-17,893,681,212,61,151,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,IV,9-May-17,893,490,403,40,363,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,IV,10-May-17,893,524,369,153,216,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,IV,11-May-17,893,454,439,170,269,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,IV,12-May-17,893,868,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,IV,13-May-17,893,639,254,83,171,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,15-May-17,893,362,531,253,278,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,16-May-17,893,369,524,234,290,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,17-May-17,893,336,557,260,297,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,18-May-17,893,383,510,213,297,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,19-May-17,893,453,440,171,269,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,20-May-17,893,396,497,232,265,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,IV,21-May-17,893,880,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,IV,22-May-17,893,366,527,269,258,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,IV,23-May-17,893,168,725,464,185,3,0,8,0,6,0,10,0,1,2,1,4,41
21,2017,IV,24-May-17,893,298,595,405,97,5,0,14,1,9,0,10,0,0,0,0,4,50
21,2017,IV,25-May-17,893,856,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,IV,26-May-17,893,490,403,115,246,0,0,6,0,3,0,12,0,0,2,0,1,18
21,2017,IV,27-May-17,893,173,720,501,43,5,0,24,3,6,0,33,3,1,3,0,10,88
22,2017,I,29-May-17,834,436,398,259,125,0,0,2,0,0,0,0,0,0,0,7,2,3
22,2017,IV,29-May-17,893,865,28,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2017,I,30-May-17,834,269,565,432,95,1,0,3,0,1,0,3,0,0,0,7,1,22
22,2017,IV,30-May-17,893,878,15,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2017,I,31-May-17,834,635,199,168,8,1,0,5,1,0,0,1,2,0,0,7,1,5
22,2017,I,1-Jun-17,834,347,487,414,0,6,0,9,0,14,0,4,5,0,0,15,5,15
22,2017,I,2-Jun-17,834,375,459,372,0,5,0,10,0,9,0,3,9,0,1,22,2,26
22,2017,I,3-Jun-17,834,381,453,366,1,2,0,13,1,3,0,2,15,0,0,23,8,19
23,2017,I,5-Jun-17,834,240,594,455,47,5,0,14,1,9,0,6,6,0,1,2,6,42
23,2017,IV,5-Jun-17,893,886,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,I,6-Jun-17,834,122,712,578,1,1,0,26,2,16,0,9,18,0,1,20,9,31
23,2017,VII,6-Jun-17,347,181,166,117,0,1,0,4,0,1,0,1,35,0,0,6,1,0
23,2017,IV,7-Jun-17,893,888,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,VII,7-Jun-17,347,97,250,195,3,4,0,6,1,2,0,0,10,0,0,14,3,12
23,2017,VII,8-Jun-17,347,0,347,238,0,6,0,7,3,5,0,2,45,0,0,15,4,22
23,2017,GIP,9-Jun-17,212,0,212,118,0,0,0,2,0,2,0,5,19,0,1,8,12,45
23,2017,VI,9-Jun-17,243,14,229,147,39,2,0,3,1,1,0,12,1,0,1,4,6,12
23,2017,GIP,10-Jun-17,212,32,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,GIP,12-Jun-17,212,0,212,105,85,1,0,2,0,17,0,0,2,0,0,0,0,0
24,2017,GORs,12-Jun-17,353,18,335,22,313,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,"Project Gulshan-e-Iqbal Park",12-Jun-17,208,28,180,67,113,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,VI,12-Jun-17,243,155,88,68,10,0,0,0,0,4,0,1,1,0,0,3,1,0
24,2017,GIP,13-Jun-17,212,0,212,126,0,1,0,4,0,32,0,0,19,0,1,0,18,11
