Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
0,0,2017-04-28,0,0,0,0,0,0,1784,0,0,2,0,0,2,1786,0,0,IV,17,2017
233,0,2017-04-30,0,0,0,0,0,0,4924,0,0,201,0,0,434,5358,0,0,IV,18,2017
1201,0,2017-05-07,0,0,0,0,0,0,4543,0,0,507,0,0,1708,6251,0,0,IV,19,2017
1696,0,2017-05-15,0,0,0,0,0,0,2299,0,0,1363,0,0,3059,5358,0,0,IV,20,2017
878,1,2017-05-21,7,4,0,52,3,24,3231,197,65,1755,0,2,3020,6251,19,13,IV,21,2017
229,81,2017-05-29,1,2,0,42,31,27,2443,90,13,2011,0,0,2561,5004,19,15,I,22,2017
39,0,2017-05-29,0,0,0,0,0,0,1743,0,0,4,0,0,43,1786,0,0,IV,22,2017
180,8,2017-06-09,1,0,0,2,19,2,32,45,5,118,0,0,392,424,12,0,GIP,23,2017
48,22,2017-06-05,2,3,0,40,24,25,362,73,15,1033,0,0,1306,1668,15,6,I,23,2017
12,0,2017-06-05,0,0,0,0,0,0,1774,0,0,0,0,0,12,1786,0,0,IV,23,2017
39,4,2017-06-09,1,1,0,3,1,1,14,12,12,147,0,0,229,243,6,2,VI,23,2017
3,35,2017-06-06,0,4,0,17,90,8,278,34,3,550,0,0,763,1041,8,11,VII,23,2017
85,0,2017-06-12,1,0,0,6,21,49,0,11,0,231,0,0,424,424,18,2,GIP,24,2017
313,1,2017-06-12,0,0,0,0,6,1,17,177,0,187,0,0,689,706,4,0,GORs,24,2017
3,20,2017-06-15,1,2,0,26,10,23,201,17,4,730,0,0,861,1062,12,13,II,24,2017
83,12,2017-06-14,0,1,0,3,65,5,1168,0,2,877,0,0,1055,2223,6,1,III,24,2017
113,6,2017-06-12,0,0,0,5,1,1,27,2,0,256,0,0,389,416,5,0,"Project Gulshan-e-Iqbal Park",24,2017
27,25,2017-06-16,1,6,0,24,21,51,699,34,12,1104,0,0,1347,2046,13,29,V,24,2017
10,6,2017-06-12,0,0,0,1,7,4,283,1,2,169,0,0,203,486,2,1,VI,24,2017
385,14,2017-06-21,0,4,0,1,19,5,187,18,159,265,0,0,872,1059,2,0,GORs,25,2017
10,21,2017-06-20,3,4,0,37,16,37,1045,2,13,474,0,0,623,1668,2,4,I,25,2017
1,7,2017-06-20,1,1,0,31,7,51,940,10,10,496,0,0,653,1593,16,22,II,25,2017
12,4,2017-06-21,0,0,0,10,43,9,377,7,4,272,0,0,364,741,0,3,III,25,2017
0,0,2017-06-22,3,3,0,15,4,40,543,12,6,250,0,0,350,893,9,8,IV,25,2017
92,6,2017-06-19,2,1,0,9,22,7,28,18,1,246,0,0,416,444,10,2,JillaniPark,25,2017
77,7,2017-06-19,4,0,0,14,30,4,164,7,8,511,0,0,680,844,12,6,PDLBC,25,2017
73,2,2017-06-20,2,0,0,5,1,6,152,10,1,153,0,0,264,416,7,4,"Project Gulshan-e-Iqbal Park",25,2017
211,9,2017-06-20,0,2,0,10,15,42,1310,12,17,387,0,0,736,2046,5,26,V,25,2017
0,6,2017-06-20,0,0,0,14,10,26,411,21,5,216,0,0,318,729,8,12,VI,25,2017
0,1,2017-06-20,0,1,0,1,1,0,329,0,0,12,0,0,18,347,1,1,VII,25,2017
0,0,2017-07-01,1,0,0,9,23,15,0,9,0,141,0,0,212,212,12,2,GIP,26,2017
48,10,2017-06-29,0,2,0,7,69,18,89,35,3,397,0,0,652,741,4,59,III,26,2017
32,0,2017-06-30,4,5,0,32,8,62,238,39,14,408,0,1,655,893,13,37,IV,26,2017
0,2,2017-07-01,1,1,0,1,12,67,3,16,1,109,0,1,219,222,6,2,JillaniPark,26,2017
20,1,2017-07-01,3,0,0,5,15,20,9,30,16,282,0,2,413,422,12,7,PDLBC,26,2017
34,6,2017-06-30,2,0,0,20,6,9,30,17,3,250,0,1,386,416,11,27,"Project Gulshan-e-Iqbal Park",26,2017
1,4,2017-06-29,0,3,0,15,40,21,81,2,6,116,0,0,266,347,3,55,VII,26,2017
0,0,2017-07-03,2,0,0,15,52,57,0,46,1,195,26,0,424,424,23,7,GIP,27,2017
0,0,2017-07-08,0,0,0,3,7,4,229,3,19,57,27,0,124,353,4,0,GORs,27,2017
53,20,2017-07-03,2,9,0,69,24,73,314,41,30,878,105,17,1354,1668,10,23,I,27,2017
0,7,2017-07-05,1,2,0,21,6,39,2,20,14,210,180,1,529,531,11,17,II,27,2017
50,7,2017-07-03,0,2,0,11,127,51,245,75,4,831,25,2,1237,1482,5,47,III,27,2017
7,0,2017-07-06,5,8,0,38,9,89,21,25,14,222,394,8,872,893,19,34,IV,27,2017
48,3,2017-07-03,1,0,0,18,20,40,28,20,18,184,47,2,416,444,7,8,JillaniPark,27,2017
18,0,2017-07-07,1,1,0,1,11,15,0,6,57,252,37,3,422,422,10,10,PDLBC,27,2017
17,3,2017-07-02,0,0,0,9,3,1,220,10,3,41,99,2,196,416,3,5,"Project Gulshan-e-Iqbal Park",27,2017
12,16,2017-07-08,0,3,0,18,14,46,293,14,15,390,182,3,730,1023,3,14,V,27,2017
